a,b,c
1201332,2879969,1
7280022,3186706,5
1201332,3186706,1
7280022,3493442,5
1201332,3493442,1
7280022,5640596,5
1201334,5640596,1
7280022,3800178,5
1201332,3800178,1
1201332,4106914,1
7280022,4106914,5
1201334,1914115,9
1201334,2220852,9
1201334,2527587,9
1201334,2834324,9
1201334,3141060,9
1201334,3447796,9
1201334,4061267,9
1201334,4368003,9
1201334,4674739,9
1201334,4981476,9
1201334,5288212,9
1201334,5594948,9
4632764,1131856,1
4632764,1131856,17
4728054,1518104,17
5526473,402339,17
174945,237215,1
174945,6439506,1
174943,27536,1
8502650,5024437,1
4895850,3651250,1
4895850,2370138,1
7024688,3743325,1
4895850,4932362,1
8502650,3743325,1
8502650,2462213,1
6162675,5024437,1
6924675,2462213,1
7305675,5848350,17
7678322,1985963,9
7485763,2714625,17
7407747,3262995,9
7215188,3991657,17
7686960,4549776,9
7494400,5278439,17
174945,1131856,1
196850,1518104,17
1524000,5143500,9
3267075,2914650,9
3267075,2505075,9
3267075,2219325,9
2400300,4743450,9
2400300,4276725,9
3267075,4743450,9
2400300,5200650,9
3267075,2076450,9
3267075,4276725,9
3267075,5200650,9
3267075,3810000,9
3267075,3352800,9
2400300,3810000,9
2400300,2914650,9
2400300,2076450,9
1524000,4095750,9
1524000,4619625,9
2400300,2505075,9
2400300,2219325,9
2400300,3352800,9
1524000,2162175,9
1524000,2324100,9
1524000,3076575,9
1524000,2076450,9
1524000,2638425,9
1524000,3581400,9
809625,2243138,9
809625,2119313,9
809625,2481263,9
650875,2076450,9
2833688,2271713,1
2795588,2619375,1
1911350,5807075,1
1919288,5357812,1
2833688,2057400,1
1919288,4471987,1
1919288,4029075,1
1919288,3586162,1
1919288,3148013,1
1919288,4914900,1
1962150,2347913,1
1924050,2724150,1
1962150,2081213,1
935037,2152650,1
1244600,2028825,1
1090612,2390775,1
1047750,5314950,1
1047750,4791075,1
1047750,4267200,1
1047750,3238500,1
1039812,5807075,1
1047750,2767013,1
1047750,3748087,1
212725,1985963,1
341313,2635250,1
341313,2168525,1
3657600,4914900,1
3662362,2733675,1
2782888,5807075,1
2790825,4881562,1
2790825,3952875,1
341313,2868613,1
341313,3238500,1
341313,5314950,1
341313,3748087,1
3657600,3595687,1
2790825,3490912,1
3700462,2357438,1
341313,4791075,1
341313,4267200,1
341313,2401888,1
3657600,5357812,1
3649662,5807075,1
3657600,4471987,1
3657600,4033837,1
3657600,3157538,1
3700462,2085975,1
2790825,5343525,1
2790825,4419600,1
2790825,3043238,1
3427707,1938564,1
838044,1938565,1
962249,1729408,17
3564447,1729408,17
174945,1131856,17
174625,1131887,1
196850,1517650,17
3267075,4800600,9
3267075,3505200,9
3267075,3086100,9
2400300,3457575,9
2400300,5229225,9
2400300,4343400,9
2400300,2286000,9
3267075,2676525,9
1524000,4200525,9
2400300,2076450,9
1524000,5181600,9
1524000,4686300,9
1524000,3238500,9
3267075,2314575,9
2400300,4781550,9
2400300,3028950,9
2400300,2628900,9
3267075,4371975,9
3267075,5238750,9
3267075,3933825,9
1524000,3714750,9
2400300,3895725,9
3267075,2076450,9
1524000,2790825,9
1524000,2428875,9
1524000,2190750,9
1524000,2076450,9
650875,2076450,9
809625,2309813,9
809625,2133600,9
212725,1985963,1
341313,4352925,1
341313,3867150,1
341313,2401888,1
341313,2924175,1
341313,2635250,1
341313,2168525,1
3649662,5807075,1
341313,5334000,1
2790825,4929187,1
2790825,4495800,1
3657600,2447925,1
3663950,3671887,1
3662362,3252787,1
3662362,2838450,1
341313,4843462,1
341313,3386137,1
3700462,2124075,1
2782888,5807075,1
2790825,5362575,1
1047750,3386137,1
1919288,3586162,1
1090612,2043113,1
1919288,4471987,1
1919288,4914900,1
2795588,3205163,1
2833688,2105025,1
1911350,5807075,1
2790825,2405063,1
1919288,4029075,1
1924050,2738438,1
1039812,5807075,1
1047750,4352925,1
1047750,4843462,1
1047750,2924175,1
1919288,5357812,1
1924050,3152775,1
1962150,2366963,1
1962150,2090738,1
1047750,5334000,1
1047750,3867150,1
2795588,2790825,1
1047750,2519363,1
1090612,2219325,1
3663950,5367337,1
3663950,4519612,1
3663950,4943475,1
3663950,4095750,1
2790825,4062412,1
2790825,3629025,1
3427412,1938338,1
838200,1938336,1
962025,1728788,17
3563937,1728788,17
174625,1131887,17
8612413,159496,13
223839,230189,1
254002,973140,1
303213,2541775,1
1250950,1027115,1
1301750,2490788,25
1425577,1264853,1
3094038,1027115,1
3130551,2490790,25
3314700,1264853,1
4989514,1027115,1
5040314,2490789,25
5145087,1126351,1
6859588,1027115,1
6910388,2490789,25
7034214,1264853,1
1425577,1422400,9
3314700,1422400,9
5145087,1422400,9
7029452,1423987,9
119062,6435725,1
303213,4857751,1
298452,4819650,9
1314452,4857751,25
3143251,4857751,25
5053014,4857751,25
6923089,4857751,25
1379537,1492250,1
1400177,1503362,13
3262312,1492252,1
3262312,1493840,13
5145087,1492252,13
7027863,1492252,1
7037388,1552575,13
303213,1126351,1
298452,2466975,9
5376864,5800726,1
5376864,5800726,1
119062,6435725,1
1020231,1203843,1
1020231,770455,1
1859472,1203843,1
1859472,1046680,1
2590076,1203842,1
2590076,630753,1
3254023,1203843,1
3254023,908567,1
4254007,1203839,1
4254007,492638,1
4900964,1203839,1
4900964,492639,1
5935109,1203843,1
5935109,492642,1
6969255,1203840,1
6969255,492639,1
7568759,1203840,1
7568759,492639,1
8169344,1203842,1
8169344,770453,1
2743586,1335511,17
3254023,1335511,25
4457372,1335511,1
5123086,1335511,1
6234465,1335511,1
7104785,1335511,1
7718659,1335511,1
8440267,1335511,1
1020231,1335511,25
1859472,1335511,25
70228,1335511,13
70228,1290506,9
1020231,2352637,25
1859472,2352637,25
2743586,2352637,17
3254023,2352637,25
4457372,2352637,1
5123086,2352637,1
6234465,2352637,1
7718659,2352637,1
8440267,2352637,1
7104785,2352637,17
70228,2352637,13
70228,2296648,9
1020231,3388879,25
1859472,3388879,25
2743586,3388879,17
3254023,3388879,25
4457372,3388879,1
5123086,3388879,1
6234465,3388879,1
7104785,3388879,1
7718659,3388879,1
8440267,3388879,1
70228,3388879,13
70228,3313774,9
1020231,4406593,25
1859472,4406593,25
2743586,4406593,17
3254023,4406593,25
4457372,4406593,1
5123086,4406593,1
6234465,4406593,1
7104785,4406593,1
7718659,4406593,1
8440267,4406593,1
70228,4406593,13
70228,4350017,9
1020231,5413545,25
1859472,5413545,25
3254023,5413545,25
4457372,5413545,1
5123086,5413545,1
6234465,5413545,1
7104785,5413545,1
8396154,5413545,1
2743586,5413545,17
7718659,5413545,1
70228,5413545,13
70228,5367730,9
119062,6435725,1
168800,975056,1
1412669,1250637,1
2804379,1063072,1
1412669,1063072,1
4905835,1063072,1
7284384,1063072,1
1412669,2859003,9
1412669,4306491,9
352452,2890322,1
202499,3441338,1
2804379,2890322,25
1412669,2890322,25
4905835,3582746,17
4905835,2890322,25
4905835,3936617,17
7284384,2918897,13
7561391,3006452,13
7299624,3642031,13
7556013,3735366,13
352452,4337810,1
202499,4873509,1
2804379,4337810,25
1412669,4337810,25
4905835,4337810,25
7284384,4375910,13
7284384,5026874,13
352452,1273555,1
202499,1909210,1
2804379,1273555,25
1412669,1273555,25
4905835,2135259,25
4905835,1273555,25
4905835,2658406,17
7284384,1857570,13
7592407,1857570,13
7284384,2308718,13
7284384,1302130,13
7734179,1302130,13
2804379,1250637,1
4905835,1250637,1
7356405,1250637,1
168800,311450,17
1331500,553530,1
1429254,868914,9
1429254,644183,17
174945,237215,1
1429254,905789,25
7491332,273011,1
7491332,273011,1
7491332,485377,1
8612413,111829,13
466756,1004887,1
174945,237215,1
530225,1047750,17
6515100,3219450,9
4800600,2190749,9
4800600,2952750,9
3076575,2324100,9
6515100,2190750,9
3076575,2838450,9
1536700,2108200,24-52
5286375,4521200,1
3987800,2054225,1
3562350,4521200,1
5707062,1920875,1
7000875,4521200,1
7421563,1920875,1
1847850,4521200,1
2268538,2225675,1
174945,6507205,1
2039938,5076825,1
3827462,5076825,1
5614987,5076825,1
530225,5076825,1
6641296,1076325,1
6400800,1088719,1
6641296,1337336,1
6400801,1349731,1
7402513,5076825,1
174945,5948016,17
4208462,1047750,1
4735512,1090612,1
6140198,5261873,1
7389497,5261873,1
530225,1443296,1
530225,1873250,9
174943,27536,1
6508750,5453062,1
8710727,240787,13
0,0,1
8545513,6435725,17
119062,230188,1
2722563,2232025,9
2217738,2841625,9
1970088,3451225,9
1941513,4051300,9
1874838,4660900,9
538956,4960937,1
104775,4351337,1
388143,3746500,1
388143,3141663,1
434181,2532063,1
2747963,2532063,1
556418,1922463,1
2747963,1922463,1
4381500,4660900,9
5172075,2232025,9
4695825,2841625,9
4505325,3451225,9
4467225,4051300,9
119062,969962,1
119062,969962,1
1319212,1643063,1
1319212,1411287,1
3925887,1643063,1
3925887,1411287,1
119062,6435725,1
7027863,4051300,9
6808788,4660900,9
7513638,2232025,9
7218363,2841625,9
7075488,3451225,9
7539038,1922463,1
6361112,1643063,1
6361112,1411287,1
6909541,657225,1
6909541,657225,1
6909541,869591,1
1673225,2928938,1
4121150,2928938,1
6569075,2928938,1
174945,677098,1
261584,1101774,17
5526473,402339,17
174945,237215,1
174945,681057,17
1270000,1959205,24-52
6086475,5016730,5
6143625,5016730,5
6086475,5016730,5
2543175,4683355,9
1743075,4730980,9
5511800,4591280,1
5511800,4029305,1
4814887,5277080,1
4711700,3981680,1
4711700,4681768,1
4718050,4262668,1
4019550,5277080,1
3916362,4208693,1
3916362,4757968,1
3971925,4453168,1
3224213,5277080,1
3121025,4322993,1
3121025,4800830,1
3176588,4567468,1
6235700,5277080,1
6254750,1771880,1
6311900,3972155,1
6311900,2448155,1
5614987,5277080,1
5511800,3695930,1
2432050,5277080,1
2320925,4194405,1
2320925,4838930,1
2376488,4438880,1
1511300,5277080,1
1520825,4242030,1
1576387,4853218,1
1576387,4486505,1
7435850,331788,1
6543675,331788,1
7702550,330200,1
6810375,330200,1
1456580,5700957,1
2252266,5700957,1
3047952,5700957,1
4639324,5700957,1
5435010,5700957,1
261584,5644010,1
3843639,5700957,1
6230696,5700957,1
7213903,3903940,1
7213903,2391755,1
8116496,3903940,1
8116496,2391755,1
7213903,1202111,1
7213903,1445042,9
7213903,1517337,1
7213903,1729489,9
8116496,1517337,1
8116496,1729489,9
174943,27536,1
8710727,240787,13
6034087,3425825,1
241300,3425825,1
3138488,765175,1
3192463,1141412,17
241300,765175,1
6034087,765175,1
3138488,765175,17
241300,765175,17
6034087,765175,17
5526473,402339,17
241300,3425825,17
6034087,3425825,17
6088062,1141412,17
6088062,3802062,17
295275,1141412,17
295275,3786187,17
174945,237215,1
174945,6081366,17
6527799,4279900,24-52
6872288,4011612,9
7004050,4037012,1
7831138,5607050,1
7264400,5607050,1
6697663,5607050,1
2540000,2989263,1
2573338,1955800,1
1419225,2989263,1
1452562,2251075,1
1452562,1917700,1
350838,2989263,1
563562,1785938,1
563562,1697038,1
174945,6555902,1
1295400,1211262,9
2260600,1211262,9
2581275,1141412,1
1616075,1141412,1
174943,27536,1
6489700,1917700,24-52
6553200,1976438,9
6838950,1473200,9
7826375,2997200,1
7897813,1773238,1
7245350,2997200,1
7316788,1868488,1
6664325,2997200,1
6735763,2125663,1
6985000,1531937,1
3479800,1651000,24-52
3552825,1976438,9
3857625,1549400,9
4041775,1474787,1
4870450,2997200,1
4251325,2997200,1
3683000,2997200,1
3138488,3425825,1
3138488,3425825,17
3192463,3786187,17
4394200,3975100,24-58
5254625,4633912,1
4549775,4176712,1
3224213,4999037,1
3224213,4176712,1
5226050,5091112,1
3224213,4541837,1
4654550,5091112,1
4487862,4633912,1
5254625,4176712,1
4716462,3803650,1
4956175,3802062,1
5097462,4057650,9
4943475,4419600,17
4956175,4548187,9
4845050,4910137,17
5135562,5027612,9
5008562,5389562,17
4648200,5667375,17
8611916,170345,13
7103202,66851,1
7103202,66851,1
7103202,279216,1
295275,4286250,17
295275,4678362,17
1387475,5273675,1
2232025,5273675,1
1784350,5273675,1
1808163,4286250,17
1808163,4678362,17
2255838,4286250,17
2255838,4678362,17
1360487,4286250,17
1360487,4678362,17
8545513,6435725,1
119062,230188,1
468351,865187,25
119062,230188,1
119062,2362200,9
8326438,612775,1
119062,4203700,9
119062,6443662,1
119062,839787,1
8443913,839787,1
8443913,839787,1
8443913,1092200,1
8443913,1092200,5
8443913,1344612,1
8548688,1344612,5
8443913,1703388,1
8548688,1703388,5
8367713,2054225,1
119062,2519363,1
8443913,2519363,1
8443913,2519363,1
8443913,2952750,1
8443913,2952750,5
8443913,3338512,1
8548688,3338512,5
8443913,3713162,1
8548688,3713162,5
119062,4360862,1
1233487,612775,1
1233487,839787,25
1233487,2519363,25
1233487,4360862,25
8443913,4360862,1
8443913,4360862,1
8443913,4754562,1
8443913,4754562,5
8443913,5010150,1
8548688,5010150,5
8443913,5368925,1
8548688,5368925,5
119062,6111488,17
119062,612775,1
119062,803275,9
6388763,795739,1
6388763,795739,1
6388763,977328,1
177415,962218,17
177415,1169881,17
177415,1152612,1
168085,5633172,17
168085,5864783,17
168085,5812678,1
-153610,3791568,17
2637434,5886382,17
5810086,5886382,17
265713,1910312,17
174945,6154863,17
3221504,1354365,9
7110270,1309229,9
1488267,1308951,17
5121350,1308951,17
1488267,2968607,17
5127781,2968607,17
7336138,77511,1
7881462,54745,17
7881462,607374,17
6611449,607374,17
4407780,2351327,17
4407780,2562044,17
4407780,2988455,17
4407780,2772761,17
6198922,2756211,17
4052932,2342436,13
4052932,2551079,13
4052932,2759723,13
4052932,2971273,13
5935166,2747321,13
6198922,2351327,17
6198922,2553770,17
6198922,3161097,17
6198922,3577414,17
6198922,3352110,17
6198922,2970084,17
5937618,3152206,13
5937618,3568522,13
5937618,3343218,13
5937618,2961194,13
5937618,2544877,13
5924591,2353866,13
4407780,3215582,17
4050126,3217110,13
4384921,3411470,17
6212995,3765801,17
4362841,3616357,17
6246922,3970687,17
4072501,3424170,13
4073281,3629057,13
5957725,3778501,13
5957361,3983387,13
4361055,3817413,17
4053807,3829501,13
4391928,4320204,17
4045125,4324265,13
4378111,4056374,17
4060037,4080271,13
6274239,4172680,17
5937618,4184768,13
3304809,1318476,9
1547301,2158758,9
6861754,1308951,9
5104246,2139708,9
3304809,2988454,9
1547301,4114443,9
6861754,2988454,9
5104246,4114443,9
2689554,5666664,17
1547301,5411017,17
3781938,5411017,17
697980,4627698,17
697980,3435999,17
697980,2500706,17
697980,1784931,17
5098505,5411017,17
7333143,5411017,17
6283628,5666664,17
418072,3949215,17
418072,2025870,17
793101,1322022,9
793101,2988455,9
1547301,5604595,9
5291821,5604595,9
1207731,1322022,9
1207731,2988455,9
1547301,5833300,9
5291821,5833300,9
7520229,1085796,1
7261053,1097134,1
174945,6442595,1
174945,237215,1
174943,27536,1
9655840,1942296,5
527050,1390650,1
6938963,2570163,17
647700,2219325,17
5881687,5683250,17
5826125,2219325,17
6024562,2478088,17
4454525,5683250,17
4406900,2219325,17
4857750,2525713,17
3035300,5683250,17
3073400,2219325,17
2933700,2487613,17
3438525,2463800,17
1616075,5683250,17
1654175,2219325,17
1514475,2649538,17
6213475,1881188,1
4562475,1881188,1
3433762,1881188,1
6480175,1879600,17
3700462,1879600,17
4829175,1879600,17
527050,1390650,1
527050,1390650,1
601662,1822450,17
8710727,240787,13
381000,494838,1
381000,5768919,17
7711994,556094,1
7711994,556094,1
7711994,768460,1
451866,2854903,9
451866,1181430,9
6431200,1925913,1
6478663,4216606,1
451866,1002851,1
6629624,1002851,1
1229433,1002851,1
2459596,1002851,1
451866,1229570,1
1229433,1229570,1
1229433,2092551,1
2459596,1229570,25
2459596,2092551,25
451866,2955533,1
1229433,2955533,1
1229433,3972404,1
2459596,3972404,25
1229433,4989271,1
2459596,2955533,25
2459596,4989271,25
7324484,1220045,25
7324484,3903152,25
1229432,1991921,9
1229432,3871772,9
1229432,4888643,9
6795648,1229570,1
6795648,1398846,1
6795648,1568123,1
6795648,1737402,1
6795648,2955533,1
6795648,3126705,1
6795648,3297875,1
6795648,3617254,1
6795648,3972404,1
6795648,4305498,1
6795648,4469812,1
6795648,4634124,1
6795648,4989271,1
6795648,5158547,1
6795648,5327825,1
6795648,5497102,1
6795648,2092551,1
6795648,2261828,1
6795648,2431106,1
6795648,2600383,1
174945,237215,1
174945,6597563,1
174943,27536,1
4581525,3889375,1
173037,1022350,1
173037,1022350,1
173037,3889375,1
173037,3889375,1
4581525,1022350,1
4581525,1022350,1
4581525,3889375,1
234950,1101725,17
4683125,1101725,17
234950,3968750,17
4683125,3968750,17
234950,1411287,17
4683125,1411287,17
234950,4265612,17
4683125,4265612,17
4651375,5627687,17
2943922,2296025,17
6486525,5784850,1
7196138,5784850,1
6773863,1922463,9
1266825,2078038,13
1391545,2254590,1
611187,2466975,13
735907,2643527,1
1901825,1674813,13
2024926,1851365,1
7185025,1759256,1
7289800,2070100,24-52
8183563,2728913,17
8148638,3524250,17
7481888,3524250,17
7516813,2652713,17
4660900,1689100,24-52
5297487,3028950,9
6091237,2057400,9
6021387,2524125,9
5367337,2524125,9
6148387,2054225,9
5424487,2520950,9
5576887,3524250,17
6300787,3524250,17
4852987,3524250,17
5529262,2620963,17
6253162,2135188,17
1371600,5172075,9
1371600,5610225,9
1371600,5153025,9
660400,5080000,24-53
2127250,4927600,9
2127250,5681662,9
985837,5630862,17
985837,5283200,17
1036637,5054600,17
223838,4837112,1
2236788,5573712,1
2236788,5087937,1
1663700,4837112,1
1765300,5068887,1
900112,6076950,1
1714500,5697537,17
1628775,6076950,1
1714500,5364162,17
935037,4837112,1
2236788,4819650,1
6375400,4775200,24-52
7040563,5200650,9
7839075,4835525,9
7735888,4838700,9
6559550,4957762,17
7943850,4881562,17
7208838,4595812,17
7283450,5410200,17
6577013,5410200,17
7540625,3001963,13
8199438,3008313,13
203200,1993900,24-52
2173288,2733675,9
1552575,2733675,9
2209800,2295525,9
1609725,2730500,9
849312,3190875,9
1516062,3095625,9
885825,3095625,9
942975,3092450,9
2266950,2292350,9
1728788,3524250,17
1066800,3524250,17
2390775,3524250,17
400050,3524250,17
8710727,240787,13
241300,4038600,1
119062,230188,1
119062,6435725,1
3375025,5589587,1
2011363,5394325,1
2092325,5784850,1
2278063,5394325,1
2625725,5589587,1
3025775,5589587,1
2116138,3603625,1
3375025,4498975,1
2016125,4305300,1
2101850,4691062,1
2306638,3213100,1
2292350,4305300,1
2649538,3408362,1
2640013,4498975,1
3035300,3408362,1
3030538,4498975,1
3375025,2312988,1
3375025,3408362,1
2020888,3213100,1
2030413,2117725,1
2135188,2508250,1
2325688,2117725,1
2663825,2312988,1
3040063,2312988,1
4513262,5589587,1
4408487,4498975,1
4294187,3408362,1
4189412,2312988,1
6532563,4498975,1
6370637,3408362,1
6227762,2312988,1
6532563,5589587,1
2092325,1766888,1
2092325,1382712,1
3868737,1766888,1
3868737,1382712,1
5716587,1766888,1
5716587,1382712,1
7221538,1766888,1
7221538,1382712,1
242888,2019300,1
133350,1962150,1
242888,3114675,1
133350,3057525,1
242888,4195762,1
133350,4141787,1
8012113,3408362,1
8383588,5589587,1
7812088,2312988,1
8202613,4498975,1
6396037,863600,1
6396037,1104900,1
7399338,863600,1
7399338,1104900,1
8186738,863600,1
6634163,1103312,1
7637463,862012,1
7637463,1103312,1
6634163,862012,1
8424863,862012,1
119062,835025,17
7269163,249238,1
7269163,249238,1
7269163,458787,1
242888,5295900,1
133350,5241925,1
242888,2976563,9
242888,4033837,9
242888,5138737,9
3881437,925512,1
4408487,939800,1
5049837,2208213,1
2300288,944562,1
2768600,930275,1
5049837,3313112,1
5049837,4418012,1
5049837,5522912,1
178106,1019175,1
2782794,1338262,1
392113,1714500,1
3141663,5618162,1
3813175,5618162,1
1793875,5618162,1
392113,4403725,1
2463800,5618162,1
6475412,5618162,1
528637,5618162,1
392113,2255838,1
5838825,5618162,1
392113,3328987,1
322263,1524000,1
392113,3870325,1
392113,5432425,1
392113,2789238,1
5160962,5618162,1
392113,4945062,1
4491037,5618162,1
490537,1609725,5
490537,5089525,5
490537,1666875,5
490537,5146675,5
490537,5089525,5
490537,1609725,5
1095375,5429250,5
1152525,5429250,5
1095375,5429250,5
3495675,2451100,9
3470275,2805113,9
5694362,3057525,9
4108450,2563813,9
3186113,2565400,9
2163763,4092575,9
4068762,2581275,9
5295900,2790825,9
4340225,2600325,9
6489700,3527425,9
3767137,3022600,9
4687887,2805113,9
6573838,3651250,9
5048250,2806700,9
4772025,2209800,9
4600575,2954338,1
5389562,4281487,1
6137275,5856287,1
2295525,3200400,1
322263,1082675,1
5092700,2379663,1
4410075,2586038,1
3414712,4281487,1
6100762,3368675,1
2960688,2762250,1
5106987,4997450,1
4479925,2214563,1
2984500,2922588,1
3903662,1889125,1
3544887,3332162,1
3779837,2781300,1
1685925,4876800,1
3362325,2655888,1
1060450,4024312,1
5865812,2160588,1
2787650,4159250,1
1554162,5241925,1
898525,2500313,1
2405063,5232400,1
5943600,3533775,1
4706937,2757488,1
6196012,3713162,1
3830637,4038600,1
2943225,2454275,1
2608263,2573338,1
5749925,2800350,1
3635375,2520950,1
4367212,2755900,1
3335337,1766888,1
1562100,2301875,1
3903662,2247900,1
5203825,2840038,1
3324225,4876800,1
1104900,4291012,1
4494212,4027487,1
6032500,4048125,1
1136650,2727325,1
1717675,3952875,1
1449387,3321050,1
3603625,3068638,1
5032375,2708275,1
3903662,1516062,1
2908300,1644650,1
3281362,5241925,1
4470400,3332162,1
5289550,3321050,1
6057900,3068638,1
2943225,3086100,1
4162425,2447925,1
5562600,3916362,1
3979862,3679825,1
5289550,3557587,1
4170362,4997450,1
3200400,3811587,1
3167063,2247900,1
5184775,3090863,1
5322887,2135188,1
4543425,1889125,1
4224337,3086100,1
3979862,5170487,1
631692,1339850,17
5235506,1350962,17
5398482,5300662,17
174945,6591234,1
6869111,1438275,1
6946926,1530350,25
2759280,1317625,9
567618,2889075,9
174945,237215,1
174945,6081367,17
2768600,963612,1
2768599,2034956,1
223838,230189,1
117476,6435725,1
3163888,2024063,9
3163888,3048000,9
3163888,4071937,9
3163888,5095875,9
2914492,1073858,1
2914492,2108842,1
2914492,3128231,1
2914492,4220181,1
2914492,5385406,1
3163888,2081215,25
3163888,3157538,25
3163888,4219575,25
3163888,5397501,25
922337,1009234,1
922337,2049263,1
922337,3083320,1
922337,4117378,1
922337,5151439,1
1957390,1482727,1
1957390,1876425,1
1985965,1635126,1
1966913,1608137,1
1966913,1846263,1
2427290,1635126,1
2408238,1608137,1
2408238,1846263,1
2208213,1635126,1
2189163,1608137,1
2189163,1846263,1
1957390,2500313,1
1957390,2894015,1
1985965,2652713,1
1966913,2625726,1
1966913,2863851,1
2427290,2652713,1
2408238,2625726,1
2408238,2863851,1
2208213,2652713,1
2189163,2625726,1
2189163,2863851,1
1957390,3519487,1
1957390,3913189,1
1985965,3671887,1
1966913,3644901,1
1966913,3883026,1
2427290,3671887,1
2408238,3644901,1
2408238,3883026,1
2208213,3671887,1
2189163,3644901,1
2189163,3883026,1
1957390,4538664,1
1957390,4932364,1
1985965,4691062,1
1966913,4664076,1
1966913,4902201,1
2427290,4691062,1
2408238,4664076,1
2408238,4902201,1
2208213,4691062,1
2189163,4664076,1
2189163,4902201,1
1957390,5557839,1
1957390,5951539,1
1985965,5710237,1
1966913,5683251,1
1966913,5921376,1
2427290,5710237,1
2408238,5683251,1
2408238,5921376,1
2208213,5710237,1
2189163,5683251,1
2189163,5921376,1
3163888,1073150,25
174945,237215,1
174945,6582782,1
174945,6235267,17
174943,27536,1
889000,1028700,1
2230438,1906588,17
5180012,1906588,17
2146300,2184400,24-57
984250,5068887,17
3063875,5068887,17
984250,4221162,17
3168650,4221162,17
984250,3373437,17
4568825,3373437,17
984250,2525713,17
3740150,2525713,17
5118100,2184400,24-57
5407025,5011737,17
6007100,4183062,17
7483475,3349625,17
5673725,2516188,17
965200,1458912,17
889000,1028700,1
965200,1092200,17
174945,680720,1
261584,1090007,17
5526473,402339,17
174945,237215,1
174945,680720,17
2422525,3394075,1
4117975,3203575,1
6708775,2300288,1
6659563,2087563,1
5902325,5373687,1
5813425,2994025,1
4167187,3416300,1
5056187,5373687,1
3357562,5373687,1
4206875,5373687,1
3273425,3295650,1
6591300,5373687,1
5862637,3206750,1
4967287,3151188,1
5016500,3363912,1
3317875,3508375,1
2517775,5373687,1
2471738,3606800,1
1625600,3794125,1
1625600,3581400,1
1566862,5373687,1
6659563,3736975,1
5813425,4178300,1
4967287,4254500,1
2422525,4376737,1
3273425,4327525,1
1625600,4468812,1
4122737,4281487,1
7264400,1125538,1
8058150,1125537,1
7504113,1123950,1
8297863,1123950,1
1456580,5801524,1
2304306,5801524,1
3152031,5801524,1
4847480,5801524,1
5695205,5801524,1
261584,5754904,1
3999755,5801524,1
6542930,5801524,1
7420820,1508411,1
7420820,1720563,9
7439193,4082763,1
7439193,2196020,1
8248209,4082763,1
8248209,2196020,1
7420820,1792858,1
7420820,2005011,9
8229837,1792858,1
8229837,2005011,9
174943,27536,1
8612413,159496,13
119064,935152,5
119064,1173312,1
1971675,1173312,1
1971675,1030917,1
1971675,1173312,1
119062,230188,1
211790,1235499,17
2091603,1420166,17
3231044,1235499,17
4795279,1420166,17
2091602,1752277,17
4795280,1752277,17
2091603,2278482,17
4795280,2278482,17
2091603,2804685,17
4795280,2804685,17
2091603,3700221,17
4795280,3700221,17
2091603,4411091,17
4795280,4411091,17
2091603,4937295,17
4795280,4937295,17
2091603,5463504,17
3800911,1752277,17
3800911,2278482,17
3800911,2804685,17
3800911,3700221,17
3800911,4411091,17
3800911,4937295,17
3800911,5463504,17
2091602,2200045,5
2091602,2726250,5
2091602,3621785,5
2091602,4332656,5
2091602,4858860,5
2091602,5385063,5
211790,2612754,25
119062,6435725,1
174945,6587693,1
174945,237215,1
174943,27536,1
527050,1283059,1
6938963,2462572,17
1079500,2381610,24-53
647700,2111735,17
5881687,5575660,17
5826125,2111735,17
6024562,2370497,17
4454525,5575660,17
4406900,2111735,17
4857750,2418122,17
3035300,5575660,17
3073400,2111735,17
2933700,2380022,17
3438525,2356210,17
1616075,5575660,17
1654175,2111735,17
1514475,2541947,17
7504910,1002544,1
7504910,766227,1
7504910,528322,1
7725891,1000955,17
7771610,526733,17
7771610,764638,17
527050,1283059,1
527050,1283059,1
570280,1733037,17
8710727,240787,13
6160075,1680845,13
3931108,761709,1
4011750,1313042,25
119062,230188,1
119062,6435725,1
3436772,637253,5
194241,760515,1
190646,878510,1
194241,878510,1
273863,965511,17
3931108,878510,1
4011750,965511,17
273863,1595428,25
4486962,1031875,1
157385,1031875,1
333937,1516062,1
333937,1287799,1
317740,1084262,13
4576893,1111250,13
174945,237215,1
4576893,3084513,25
174945,6612204,1
261048,1603375,13
2352675,3609975,9
1619250,3371850,9
876300,3238500,9
165100,3175000,24-52
2562225,3829050,1
1828800,3829050,1
1085850,3829050,1
1109662,3198813,1
352425,3829050,1
312738,2995613,1
174945,6235265,17
3403600,3403600,24-52
3581400,3829050,1
3587750,3205163,1
7430068,416275,1
7430068,416275,1
7430068,632922,1
4576893,1516062,1
5172438,1268113,1
4669994,1603375,13
245661,4573587,1
290631,4610434,25
1491912,5807392,1
174943,27536,1
8710727,240787,13
174945,237215,1
174945,782138,1
279400,1807210,24-52
5878512,4752023,1
5000625,5194934,1
5153025,4780598,1
4229100,5194934,1
4381500,4790123,1
3457575,5194934,1
8086725,5194934,1
8193088,4752023,1
7315200,5194934,1
7467600,4771073,1
6543675,5194934,1
6650038,4475798,1
5772150,5194934,1
3563937,4732973,1
2686050,5194934,1
2792413,4713923,1
1914525,5194934,1
2020888,4456748,1
1143000,5194934,1
1203325,4209098,1
371475,5194934,1
431800,1665922,1
6332537,2204085,1
