a,b,c
2790825,4881562,1
3649662,5807075,1
3657600,3157538,1
212725,1985963,1
2782888,5807075,1
3657600,3595687,1
3662362,2733675,1
3700462,2357438,1
3700462,2085975,1
1962150,2347913,1
935037,2152650,1
2790825,3043238,1
1924050,2724150,1
2795588,2619375,1
1047750,2767013,1
1090612,2390775,1
2833688,2057400,1
2790825,3490912,1
1919288,3148013,1
1047750,3238500,1
2833688,2271713,1
1911350,5807075,1
1919288,3586162,1
1962150,2081213,1
1039812,5807075,1
1244600,2028825,1
3427707,1938564,1
838044,1938565,1
962249,1729408,17
3564447,1729408,17
174945,1131856,17
0,0,1
5095875,4081462,1
5029200,5422900,1
328613,5422900,1
4243387,5422900,1
6596063,5422900,1
2681288,5422900,1
1109662,5422900,1
3462337,5422900,1
5815012,5422900,1
1895475,5422900,1
119062,230188,1
119062,6435725,1
119062,1030287,1
7446963,1487487,1
7446963,2360613,1
7446963,3235325,1
7446963,4110037,1
119062,1431925,9
6892925,682625,1
6700838,992187,9
7131050,681037,1
7131050,922337,1
7446963,4984750,1
4572000,730250,1
5045075,681037,1
7289800,1416050,1
7289800,1214437,1
214313,5851525,1
1000125,5851525,1
1785938,5851525,1
2571750,5851525,1
3357562,5851525,1
4143375,5851525,1
4929187,5851525,1
5715000,5851525,1
6500812,5851525,1
174945,237215,1
173037,5876925,9
173037,5580062,9
173037,5284787,9
161925,5005387,9
173037,4692650,9
173037,4397375,9
173037,4100512,9
173037,3805237,9
173037,3509962,9
173037,2917825,9
173037,3213100,9
1079500,1689100,24-59
152400,3876675,1
152400,5657850,1
152400,5362575,1
152400,4467225,1
152400,5953125,1
152400,5062537,1
152400,4171950,1
152400,4762500,1
152400,3286125,1
152400,2990850,1
152400,3581400,1
152400,2690813,1
152400,1800225,1
1135062,2095500,1
152400,2390775,1
1139825,1800225,1
152400,2095500,1
6577013,306388,1
6577013,547687,1
6816725,546100,1
6816725,304800,1
174945,6602547,1
7207250,2706688,17
6657975,2706688,17
7729538,2706688,17
8599488,2706688,17
8175625,2989263,17
7207250,2981325,17
6657975,2981325,17
7729538,2981325,17
7207250,3276600,17
7729538,3276600,17
8599488,3276600,17
8175625,3579812,17
7207250,3571875,17
6657975,3571875,17
7729538,3571875,17
8175625,3876675,17
7207250,3868737,17
6657975,3868737,17
7729538,3868737,17
7207250,4164012,17
6657975,4164012,17
7729538,4164012,17
8599488,4164012,17
8175625,4468812,17
7207250,4460875,17
6657975,4460875,17
7729538,4460875,17
7207250,4756150,17
8599488,4756150,17
8175625,5059362,17
7207250,5051425,17
6657975,5051425,17
8175625,5356225,17
6657975,5348287,17
7729538,5348287,17
8175625,5651500,17
7207250,5643562,17
6657975,5643562,17
7729538,5643562,17
8599488,5643562,17
8175625,5948362,17
7207250,5940425,17
6657975,5940425,17
7729538,5940425,17
1185862,1665288,1
1185862,1335087,1
173037,1665288,1
6611938,1293812,1
6611938,1138237,1
6611938,1665288,1
7119938,1489075,1
8164513,1489075,1
7708900,1489075,1
6611938,1489075,1
173037,1489075,1
8594052,1489075,1
7119938,1665288,1
7708900,1665288,1
8164513,1665288,1
8594052,1665288,1
173037,2333625,9
173037,2038350,9
8175625,1812925,17
7207250,1804988,17
6657975,1804988,17
7729538,1804988,17
8599488,1804988,17
8175625,2109788,17
6657975,2101850,17
7729538,2101850,17
8175625,2408238,17
7207250,2400300,17
6657975,2400300,17
7729538,2400300,17
8599488,2400300,17
173037,2605088,9
2441575,2962275,5
2295525,1665288,1
2295525,1335087,1
2441575,3257550,5
2441575,3854450,5
2441575,5038725,5
2441575,4451350,5
2441575,5329237,5
2441575,4745037,5
2428875,2082800,5
2428875,2382838,5
3046413,1335087,1
3046413,1665288,1
3767137,1489075,1
3767137,1665288,1
4487862,1489075,1
4487862,1665288,1
